x1::OSD,x2::Dint,x3::L,x4::tm,x5::hs2,x6::wt,x7::Nt,x8::Nh,m1::Drot,m2::Dsh,m3::he,m4::Rmag,m5::Rs,m6::GFF,p1::W,p2::Tnom,p3::nnom,p4::GFF,p5::BSP_T,p6::BSP_n,p7::BSP_Pm,p8::BSP_Mu,p9::BSP_Irms,p10::MSP_n,p11::UWP_Mu
51.69,21.32,25.14,3.04,11.26,3.17,18,4,20.32,8.14857142857143,3.924999999999997,9.4,21.92,48.84131570845943,0.5466553,0.11,3960.0,51.624047,0.6234529,3276.9807,213.94698,80.951377,10.058102,5060.1402,91.475177
56.50247,22.613729,39.462243,2.5378892,13.319987,2.9091114,18,4,21.613729,10.07688517142857,3.6243835000000004,10.172392199999999,24.6268515,34.05174789202926,0.8016061,0.11,3960.0,35.780269,1.0312079,2028.0032,218.99969,77.366008,10.070484,2991.191,
55.385007,21.566434,31.92032,2.7411167,10.541636,2.0042426,6,6,20.566434,8.922362314285714,6.3676505,9.597937825,21.324853,21.838120269562253,0.6260949,0.11,3960.0,23.672848,0.3704965,11313.051,438.92717,89.631816,15.121274,10000.0,87.564892
58.660823,24.610769,17.825636,3.2362423,11.840792,2.3275031,11,8,23.610769,10.106636114285717,5.1842349999999975,10.996323925,24.146176500000003,42.16453011100148,0.5362463,0.11,3960.0,45.401557,0.5566639,8573.1484,499.7606,88.796579,20.140736,10000.0,90.327916
59.745991,22.251184,21.64142,2.7551303,13.803262,3.9293605,13,5,21.251184,9.383442257142857,4.944141499999997,9.936809425,24.928854,34.98785337356246,0.586261,0.11,3960.0,36.230182,0.5164593,5139.8037,277.97852,85.654736,12.587979,7697.3106,91.06665
47.005493,25.875112,11.108705,3.4870732,5.8804543,2.4945267,5,8,24.875112,10.508076457142856,4.6847362,11.565787700000001,18.8180103,47.85282301108428,0.2855547,0.11,3960.0,58.693072,0.1829145,30853.462,590.99065,89.735166,20.14258,10000.0,84.311802
58.652172,26.245662,29.766057,2.3952898,6.2760725,2.4860331,13,3,25.245662,12.956321828571427,9.9271825,12.02400855,19.3989035,42.19926679979487,0.7481061,0.11,3960.0,51.001926,0.5095331,4108.0305,219.19705,87.341878,7.5467555,4697.9836,90.593194
52.985244,28.864987,32.691507,3.2866199,7.7041072,2.1899393,6,7,27.864987,13.044608057142858,4.356021300000002,13.110838525,22.1366007,30.224339579207438,0.6414967,0.11,3960.0,35.614445,0.5732271,8969.5805,538.42777,89.950145,17.624754,9502.9705,84.471407
57.896703,25.681976,39.23271,2.8729994,10.575915,3.4818421,10,5,24.681976,11.598269771428573,5.531448500000003,11.62273815,23.416902999999998,32.20003328759554,0.8586726,0.11,3960.0,34.657565,0.8727662,3724.0668,340.36429,87.450951,12.587221,4586.3898,88.729159
55.46086,31.548708,29.865805,3.3843084,8.3821904,4.1658046,6,5,30.548708,14.766174628571429,3.573885599999997,14.4282769,24.1565444,23.30005970916439,0.6264543,0.11,3960.0,26.262882,0.507488,7165.1356,380.78411,90.470783,12.589204,7739.7783,86.249677
59.035051,21.300567,15.766179,2.9161164,13.642941,2.3396505,30,4,20.300567,8.382457914285716,5.2243010000000005,9.4212544,24.2932245,52.884781847998774,0.5393586,0.11,3960.0,55.61888,0.5119361,3095.9693,165.97436,71.770646,10.070789,4960.5298,91.633489
59.089411,21.588445,16.555812,3.071225,13.212066,2.9768433,5,4,20.588445,8.277867857142857,5.538416999999999,9.52641625,24.0062885,10.102603070071853,0.3923475,0.11,3960.0,10.580966,0.1020016,25691.504,274.42582,82.934789,10.070219,10000.0,
58.635095,21.6115,23.245132,2.8324621,14.953374,2.1523341,5,5,20.6115,8.771861514285714,3.5584235,9.597634475,25.759124,9.223358889402162,0.4422752,0.11,3960.0,9.6623832,0.168959,18968.639,335.61862,81.201358,12.588998,10000.0,81.291364
58.352935,30.991887,24.937836,2.8893499,9.7223279,2.8100838,9,5,29.991887,15.358362342857143,3.958196100000002,14.273606025,25.2182714,24.14050395253,0.5867542,0.11,3960.0,27.145182,0.5670964,6350.7687,377.14797,89.258363,12.587979,6946.027,85.272277
56.832889,24.797348,36.341685,2.1400227,10.206939,4.6914598,11,5,23.797348,12.43234602857143,5.810831500000003,11.363668324999999,22.605612999999998,49.319025768938026,0.8449727,0.11,3960.0,52.115472,0.8513937,3558.2359,317.24426,86.436801,12.589249,4728.8199,91.761891
58.113575,23.354415,21.200109,2.6425856,12.296823,4.7136271,24,3,22.354415,10.3965538,5.082757000000001,10.5165611,23.974030499999998,51.88281391616216,0.5972475,0.11,3960.0,53.791819,0.6050436,2391.9517,151.55412,76.449077,7.5556351,3947.9673,
59.025415,23.818177,24.807625,2.4786413,12.667477,4.799038,10,4,22.818177,11.055700971428571,4.936142,10.789428175,24.5765655,27.197189842634938,0.6070445,0.11,3960.0,28.164497,0.3990694,6450.7378,269.57927,88.813821,10.070295,8004.4988,90.620206
57.303092,23.071394,22.486794,2.672867,13.259572,4.8447232,10,7,22.071394,10.133833142857144,3.8562769999999986,10.36748025,24.795269,46.30947796830741,,0.11,3960.0,,,,,,,,
51.674297,24.816296,26.526637,2.4306167,8.6544048,4.4382833,14,3,23.816296,11.864692314285715,4.7745957000000026,11.300493825,21.0625528,45.94148834238378,0.5509029,0.11,3960.0,49.574915,0.4775798,4099.5254,205.02563,86.476223,7.5535471,5045.984,92.006011
53.778412,28.996075,22.891226,3.4055646,7.8918213,2.5977897,13,4,27.996075,12.900352942857143,4.4993472000000025,13.146646350000001,22.3898588,38.20914176678245,0.5241889,0.11,3960.0,44.406867,0.5647322,4991.8125,295.2089,88.112213,10.071333,5627.8086,88.813754
59.555191,22.096413,20.271794,3.0000422,12.100498,4.4465699,23,3,21.096413,8.783067742857142,6.628890999999999,9.798195949999998,23.1487045,51.802481404749166,0.5994273,0.11,3960.0,53.704612,0.514863,2808.8537,151.44308,77.672334,7.5424906,4636.9821,92.46064
