x1::OSD,x2::Dint,x3::L,x4::tm,x5::hs2,x6::wt,x7::Nt,x8::Nh,m1::Drot,m2::Dsh,m3::he,m4::Rmag,m5::Rs,m6::GFF,p1::W,p2::Tnom,p3::nnom,p4::GFF,p5::BSP_T,p6::BSP_n,p7::BSP_Pm,p8::BSP_Mu,p9::BSP_Irms,p10::MSP_n,p11::UWP_Mu
48.6,27.864,14.8,2.7803111,6.312467,4.3923253,6,4,26.864,13.342234942857143,4.0555330000000005,12.736922225,20.244467,34.16882714483379,0.3220736,0.11,3960.0,40.082719,0.1706063,17113.235,305.74251,90.763857,10.070335,18223.32,86.138152
54.6,23.104,32.800001,3.0808296,11.833245,2.3795341,18,5,22.104,9.341197942857143,3.914755000000003,10.2817926,23.385244999999998,46.01006719787479,0.7217104,0.11,3960.0,49.664102,0.9904858,2684.3461,278.42958,79.546525,12.589184,3576.9857,
59.4,24.056,29.200001,2.1212445,10.249868,2.5693012,12,3,23.056,11.940368142857144,7.422132000000001,10.997688875,22.277867999999998,22.423592754767352,0.6747987,0.11,3960.0,24.67578,0.4128522,4913.5479,212.43125,87.07682,7.5581356,5737.1407,88.799881
54.72,32.0528,22.960001,2.4569264,7.7971238,2.1238131,18,3,31.052799999999998,16.98100434285714,3.5364762000000027,14.912168399999999,23.823523799999997,34.12153830146644,0.5355536,0.11,3960.0,42.65237,0.5381888,3806.5372,214.53262,83.929471,7.5534568,4325.1237,83.402341
48.84,21.9616,25.12,3.0320726,6.9729088,2.557345,14,3,20.9616,8.622711942857144,6.466291200000001,9.72278185,17.9537088,49.140854321728824,0.4876188,0.11,3960.0,57.017278,0.3809195,5161.0967,205.87507,87.040314,7.5540946,6293.4336,91.343493
59.76,27.1024,29.680002,3.2495348,8.1415037,4.8021381,10,3,26.1024,11.859787542857141,8.1872963,12.2388163,21.6927037,34.09139148814517,0.7498443,0.11,3960.0,37.444871,0.4291272,4961.4144,222.95651,89.363697,7.5540988,5615.5112,91.807847
55.08,35.0992,23.440001,2.0852168,5.6887597,4.35665,16,3,34.0992,19.900423542857148,4.301640299999995,16.528295800000002,23.238359700000004,54.639550900479385,,0.11,3960.0,,,,,,,,
55.224,31.55776,17.632002,2.8368786,7.8592662,3.907924,16,3,30.55776,15.86749994285714,3.973853799999997,14.56966035,23.6381462,38.99561274017361,0.4608045,0.11,3960.0,45.695338,0.4877786,4143.4715,211.64874,86.913307,7.5499464,4911.1545,90.340426
58.824,38.22176,22.432001,2.1163255,6.6371027,3.6549013,16,4,37.22176,22.06860614285715,3.6640172999999976,18.081798625,25.7479827,48.79905903578401,,0.11,3960.0,,,,,,,,
55.464,25.65536,27.952002,3.0890722,9.7870234,3.396482,15,5,24.65536,11.147112742857143,5.117296599999996,11.555411950000002,22.614703400000003,53.33028815377057,0.6836921,0.11,3960.0,58.520111,0.9273295,3119.3943,302.92349,84.311072,12.578247,4277.6564,91.21023
59.064,32.31936,32.752001,2.3685191,8.5648599,3.1434593,14,6,31.319360000000003,17.348218942857144,4.807460099999997,15.067550225000002,24.724539900000003,53.10658094152281,0.87578,0.11,3960.0,62.781487,1.4808242,2575.2976,399.35538,85.069033,15.107005,3110.6629,
52.584,25.08416,24.112,3.0636134,9.1885672,3.1791345,5,8,24.08416,10.790030342857143,4.561352800000002,11.27617665,21.7306472,30.76002715552298,0.5051515,0.11,3960.0,34.11949,0.405016,13731.718,582.40576,91.56188,20.140689,15493.518,89.428373
55.584,34.60416,18.112002,2.465169,5.750902,3.140761,14,3,33.60416,18.786919142857144,4.7390180000000015,16.18578775,23.052982,40.26955339856747,0.4810503,0.11,3960.0,55.542839,0.4514177,4762.5104,225.13508,88.159095,7.5501829,5317.8261,89.181329
59.904,23.56096,23.872002,2.5011967,10.31201,4.3534121,10,3,22.56096,10.826863742857146,7.85951,10.655180825,22.09249,26.380232056172805,0.6106266,0.11,3960.0,27.898023,0.2835331,7299.7073,216.73942,89.538817,7.5412582,8431.6126,89.948623
