Topology::Stator::Outer diameter (mm);Topology::Stator::Inner diameter (mm);Topology::Stator::Length (mm);Topology::Rotor::Outer diameter (mm);Topology::Rotor::Inner diameter (mm);Magnet::TM (mm);Magnet::R (mm);Slot::HS (mm);Slot::WT (mm);Slot::R (mm);Winding::Coil - Conductor::No. turns per coil (1);Winding::Coil - Conductor::No. wires in hand (1);Topology::Airgap::Length (mm);Winding::Coil - Conductor::Conductor diameter (mm);Winding::Fill factors::Gross (%);Winding::Fill factors::Net (%);Masses::Total (kg);Inputs::Max. line current, rms (A);Inputs::Max. Line-Line voltage, rms (V);Base speed::Mechanical torque (N.m);Base speed::Speed (rpm);Base speed::Electrical frequency (Hz);Base speed::Mechanical power (W);Base speed::Machine electrical power (W);Base speed::Machine total losses (W);Base speed::Machine efficiency (%);Base speed::Control angle (deg);Base speed::Phase angle (deg);Base speed::Line current, rms (A);Base speed::Line-Line voltage, rms (V);Maximum speed::Mechanical torque (N.m);Maximum speed::Speed (rpm);Maximum speed::Electrical frequency (Hz);Maximum speed::Mechanical power (W);Maximum speed::Machine electrical power (W);Maximum speed::Machine total losses (W);Maximum speed::Machine efficiency (%);Maximum speed::Control angle (deg);Maximum speed::Phase angle (deg);Maximum speed::Line current, rms (A);Maximum speed::Line-Line voltage, rms (V);User work. pt.::Electrical frequency (Hz);User work. pt.::Mechanical power (W);User work. pt.::Machine electrical power (W);User work. pt.::Machine total losses (W);User work. pt.::Machine efficiency (%);User work. pt.::Control angle (deg);User work. pt.::Phase angle (deg);User work. pt.::Line current, rms (A);User work. pt.::Line-Line voltage, rms (V);Goal 1;Constraint 2;Post Process;Comment
1;51.690000;21.320000;25.140000;20.320000;8.1485714;3.0400000;9.4000000;11.260000;3.1700000;21.420000;18;4;0.5000000;1.2810124;51.624047;58.468406;0.5466553;10.070394;19.798990;0.6234529;3276.9807;273.08173;213.94698;264.29072;50.343743;80.951377;5.0456590;40.078815;10.058102;19.826326;0.0616052;5060.1402;421.67835;32.644367;36.627928;3.9835616;89.124251;0.8083090;5.9095918;1.0732982;19.798236;330.00000;45.616023;49.867106;4.2510827;91.475177;1.1550275;10.024532;1.8249350;15.920701;91.475177;0.5466553;1;
2;56.502470;22.613729;39.462243;21.613729;10.076885;2.5378892;10.172392;13.319987;2.9091114;24.126852;18;4;0.5000000;1.2810124;35.780269;40.899225;0.8016061;10.070394;19.798990;1.0312079;2028.0032;169.00027;218.99969;283.06966;64.069964;77.366008;9.7160142;34.941948;10.070484;19.799070;0.1030697;2991.1910;249.26592;32.285233;36.474169;4.1889355;88.515337;0.9040818;5.4108359;1.0655061;19.798718;330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.8016061;1;
3;55.385007;21.566434;31.920320;20.566434;8.9223622;2.7411167;9.5979377;10.541636;2.0042426;20.824853;6;6;0.5000000;1.5911023;23.672848;28.069363;0.6260949;15.105592;19.798990;0.3704965;11313.051;942.75424;438.92717;489.70019;50.773014;89.631816;8.9045805;19.035364;15.121274;19.780021;0.3701028;10000.000;833.33333;387.57073;433.76032;46.189589;89.351357;9.0699724;18.640902;15.038534;17.575665;330.00000;45.616029;52.093971;6.4779415;87.564892;3.0049962;5.7990362;4.5720649;6.6088540;87.564892;0.6260949;1;
4;58.660823;24.610769;17.825636;23.610769;10.106636;3.2362423;10.996324;11.840792;2.3275031;23.646177;11;8;0.5000000;1.7525822;45.401557;51.252060;0.5362463;20.140789;19.798990;0.5566639;8573.1484;714.42903;499.76060;562.81515;63.054551;88.796579;22.580875;35.480643;20.140736;19.799033;0.1696578;10000.000;833.33333;177.66523;196.01115;18.345923;90.640368;7.9603239;10.782001;5.7841586;19.792796;330.00000;45.609031;50.492730;4.8836990;90.327916;6.4585053;5.6857268;3.7032020;7.8598147;90.327916;0.5362463;1;
5;59.745991;22.251184;21.641420;21.251184;9.3834424;2.7551303;9.9368095;13.803262;3.9293605;24.428854;13;5;0.5000000;1.4332604;36.230182;41.622099;0.5862610;12.587993;19.798990;0.5164593;5139.8037;428.31697;277.97852;324.53374;46.555222;85.654736;3.7826424;41.250952;12.587979;19.799011;0.0503454;7697.3106;641.44255;40.581416;47.115433;6.5340174;86.131896;0.8254107;5.8502921;1.3814454;19.796699;330.00000;45.616444;50.091272;4.4748286;91.066650;1.0868753;11.725521;2.7523549;10.666995;91.066650;0.5862610;1;
6;47.005493;25.875112;11.108705;24.875112;10.508076;3.4870732;11.565788;5.8804543;2.4945267;18.318010;5;8;0.5000000;1.7525822;58.693072;67.057487;0.2855547;20.140789;19.798990;0.1829145;30853.462;2571.1218;590.99065;658.59426;67.603608;89.735166;7.2202123;17.552925;20.142580;19.799511;0.1828961;10000.000;833.33333;191.52834;217.46493;25.936599;88.073204;7.3578125;15.479292;19.248331;6.7685167;330.00000;45.616099;54.104049;8.4879501;84.311802;4.6942667;8.8031137;11.511530;2.7444781;84.311802;0.2855547;1;
7;58.652172;26.245662;29.766057;25.245662;12.956322;2.3952898;12.024008;6.2760725;2.4860331;18.898903;13;3;0.5000000;1.1432198;51.001926;58.539658;0.7481061;7.5527958;19.798990;0.5095331;4108.0305;342.33588;219.19705;250.96444;31.767385;87.341878;8.0528691;14.337328;7.5467555;19.817795;0.0509289;4697.9836;391.49863;25.055559;29.538861;4.4833028;84.822358;1.2401751;1.6010194;0.8614499;19.798403;330.00000;45.615654;50.352186;4.7365327;90.593194;2.5052547;3.0569606;1.7093655;16.989895;90.593194;0.7481061;1;
8;52.985244;28.864987;32.691507;27.864987;13.044608;3.2866199;13.110839;7.7041072;2.1899393;21.636601;6;7;0.5000000;1.5912727;35.614445;41.244569;0.6414967;17.623190;19.798990;0.5732271;8969.5805;747.46504;538.42777;598.58467;60.156892;89.950145;15.692807;7.9777800;17.624754;19.799168;0.0566295;9502.9705;791.91421;56.354738;85.477161;29.122423;65.929585;2.7183728;0.9698453;2.4946610;19.798317;330.00000;45.614478;53.999903;8.3854250;84.471407;3.9378638;1.4591710;3.6834714;8.4206293;84.471407;0.6414967;1;
9;57.896703;25.681976;39.232710;24.681976;11.598270;2.8729994;11.622738;10.575915;3.4818421;22.916903;10;5;0.5000000;1.4332604;34.657565;40.027652;0.8586726;12.587993;19.798990;0.8727662;3724.0668;310.33890;340.36429;389.20593;48.841642;87.450951;3.0407140;25.644639;12.587221;19.802809;0.0838143;4586.3898;382.19915;40.254779;46.746152;6.4913723;86.113569;0.6095327;3.0516616;1.3653546;19.798472;330.00000;45.616057;51.410447;5.7943898;88.729159;0.7576696;3.8442446;1.7238768;17.195874;88.729159;0.8586726;1;
10;55.460860;31.548708;29.865805;30.548708;14.766175;3.3843084;14.428277;8.3821904;4.1658046;23.656544;6;5;0.5000000;1.4332604;26.262882;31.208170;0.6264543;12.587993;19.798990;0.5074880;7165.1356;597.09463;380.78411;420.89181;40.107694;90.470783;1.7405920;12.860562;12.589204;19.799145;0.0491429;7739.7783;644.98153;39.830705;57.377698;17.546993;69.418443;0.7633725;1.2953274;1.6739201;19.798501;330.00000;45.616029;52.888347;7.2723183;86.249677;0.7178798;2.8655016;2.9492863;10.327113;86.249677;0.6264543;1;
