Topology::Stator::Outer diameter (mm);Topology::Stator::Inner diameter (mm);Topology::Stator::Length (mm);Topology::Rotor::Outer diameter (mm);Topology::Rotor::Inner diameter (mm);Magnet::TM (mm);Magnet::R (mm);Slot::HS (mm);Slot::WT (mm);Slot::R (mm);Winding::Coil - Conductor::No. turns per coil (1);Winding::Coil - Conductor::No. wires in hand (1);Topology::Airgap::Length (mm);Winding::Coil - Conductor::Conductor diameter (mm);Winding::Fill factors::Gross (%);Winding::Fill factors::Net (%);Masses::Total (kg);Inputs::Max. line current, rms (A);Inputs::Max. Line-Line voltage, rms (V);Base speed::Mechanical torque (N.m);Base speed::Speed (rpm);Base speed::Electrical frequency (Hz);Base speed::Mechanical power (W);Base speed::Machine electrical power (W);Base speed::Machine total losses (W);Base speed::Machine efficiency (%);Base speed::Control angle (deg);Base speed::Phase angle (deg);Base speed::Line current, rms (A);Base speed::Line-Line voltage, rms (V);Maximum speed::Mechanical torque (N.m);Maximum speed::Speed (rpm);Maximum speed::Electrical frequency (Hz);Maximum speed::Mechanical power (W);Maximum speed::Machine electrical power (W);Maximum speed::Machine total losses (W);Maximum speed::Machine efficiency (%);Maximum speed::Control angle (deg);Maximum speed::Phase angle (deg);Maximum speed::Line current, rms (A);Maximum speed::Line-Line voltage, rms (V);User work. pt.::Electrical frequency (Hz);User work. pt.::Mechanical power (W);User work. pt.::Machine electrical power (W);User work. pt.::Machine total losses (W);User work. pt.::Machine efficiency (%);User work. pt.::Control angle (deg);User work. pt.::Phase angle (deg);User work. pt.::Line current, rms (A);User work. pt.::Line-Line voltage, rms (V);Goal 1;Goal 2
1;51.690000;21.320000;25.140000;20.320000;8.1485714;3.0400000;9.4000000;11.260000;3.1700000;21.920000;18;4;0.5000000;1.2810124;51.796941;58.650289;0.5470459;10.070394;19.798990;0.6226909;3266.3018;272.19182;212.98915;263.32716;50.338012;80.883851;5.0613569;40.327442;10.053145;19.835958;0.0620070;5059.7498;421.64582;32.854754;36.849249;3.9944949;89.159902;0.9064419;5.9138892;1.0795991;19.797874;330.00000;45.616026;49.871974;4.2559479;91.466253;1.2221610;10.062111;1.8252197;15.922020;91.466253;0.5470459
2;56.502470;22.613729;39.462243;21.613729;10.076885;2.5378892;10.172392;13.319987;2.9091114;24.626852;18;4;0.5000000;1.2810124;35.937102;41.065130;0.8028106;10.070394;19.798990;1.0296023;2021.8792;168.48994;217.99842;282.07205;64.073637;77.284656;9.9255650;35.245250;10.071371;19.799957;0.1029753;2990.9938;249.24949;32.253518;36.430763;4.1772452;88.533742;0.9032807;5.4812055;1.0640798;19.798783;330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.8028106
3;55.385007;21.566434;31.920320;20.566434;8.9223622;2.7411167;9.5979377;10.541636;2.0042426;21.324853;6;6;0.5000000;1.5911023;23.905641;28.322365;0.6277947;15.105592;19.798990;0.3695498;11299.047;941.58729;437.26369;488.52027;51.256579;89.507789;8.8500890;19.417030;15.105510;19.799046;0.3695532;10000.000;833.33333;386.99522;433.65162;46.656400;89.241041;9.1774915;18.914866;15.037257;17.601447;330.00000;45.616084;52.202187;6.5861033;87.383473;3.0155343;5.9259774;4.5780222;6.6154029;87.383473;0.6277947
4;58.660823;24.610769;17.825636;23.610769;10.106636;3.2362423;10.996324;11.840792;2.3275031;24.146177;11;8;0.5000000;1.7525822;45.877325;51.767886;0.5375367;20.140789;19.798990;0.5530701;8555.1022;712.92519;495.48895;558.80086;63.311908;88.670041;23.597868;36.010644;20.140750;19.798950;0.1660839;10000.000;833.33333;173.92269;192.47748;18.554789;90.360021;7.9900740;10.755795;5.6804263;19.793000;330.00000;45.608743;50.559949;4.9512066;90.207256;6.4978549;5.8755852;3.7068155;7.8683290;90.207256;0.5375367
5;59.745991;22.251184;21.641420;21.251184;9.3834424;2.7551303;9.9368095;13.803262;3.9293605;24.928854;13;5;0.5000000;1.4332604;36.268856;41.659384;0.5863844;12.587993;19.798990;0.5163341;5125.1648;427.09707;277.11959;323.67517;46.555581;85.616573;3.7896579;41.422955;12.587978;19.798984;0.0503332;7697.1508;641.42923;40.570726;47.110622;6.5398965;86.118000;0.8253678;5.8904305;1.3813424;19.796675;330.00000;45.616450;50.093144;4.4766943;91.063259;1.1011874;11.789256;2.7526460;10.668920;91.063259;0.5863844
6;47.005493;25.875112;11.108705;24.875112;10.508076;3.4870732;11.565788;5.8804543;2.4945267;18.818010;5;8;0.5000000;1.7525822;60.703345;69.288503;0.2865524;20.140789;19.798990;0.1826956;30748.943;2562.4119;588.28387;657.26635;68.982478;89.504639;7.2424418;17.894255;20.140595;19.799157;0.1826959;10000.000;833.33333;191.31869;217.43907;26.120387;87.987262;7.3497159;15.793726;19.220824;6.7878418;330.00000;45.616123;54.151026;8.5349034;84.238704;4.6873866;9.0010478;11.502831;2.7503254;84.238704;0.2865524
7;58.652172;26.245662;29.766057;25.245662;12.956322;2.3952898;12.024008;6.2760725;2.4860331;19.398903;13;3;0.5000000;1.1432198;52.645666;60.366097;0.7507030;7.5527958;19.798990;0.5098395;4095.7606;341.31338;218.67375;250.59940;31.925648;87.260285;8.0616149;14.663015;7.5457106;19.820931;0.0509906;4687.4165;390.61804;25.029492;29.699920;4.6704287;84.274609;1.2491099;1.6532231;0.8661026;19.798356;330.00000;45.615716;50.509983;4.8942672;90.310297;2.5082986;3.1484380;1.7111014;17.027063;90.310297;0.7507030
8;52.985244;28.864987;32.691507;27.864987;13.044608;3.2866199;13.110839;7.7041072;2.1899393;22.136601;6;7;0.5000000;1.5912727;36.813590;42.583411;0.6460939;17.623190;19.798990;0.5738269;8923.5420;743.62850;536.22470;598.04582;61.821111;89.662814;15.775538;8.3001279;17.623115;19.799054;0.0570361;9458.3645;788.19704;56.492945;87.434357;30.941412;64.611837;2.8403937;1.0125526;2.5518095;19.798395;330.00000;45.614572;54.477062;8.8624903;83.731703;4.0304777;1.4999459;3.6985016;8.4585104;83.731703;0.6460939
9;57.624886;30.414821;27.602931;29.414821;13.733089;3.4958917;13.833438;7.8979580;2.0335292;23.105369;12;7;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
10;57.896703;25.681976;39.232710;24.681976;11.598270;2.8729994;11.622738;10.575915;3.4818421;23.416903;10;5;0.5000000;1.4332604;34.922644;40.312813;0.8602007;12.587993;19.798990;0.8723583;3710.2431;309.18693;338.94238;387.76725;48.824876;87.408716;3.0256364;26.080235;12.583906;19.807668;0.0837913;4586.0173;382.16811;40.240496;46.829285;6.5887890;85.930195;0.6100660;3.1227571;1.3678572;19.798422;330.00000;45.616043;51.489728;5.8736853;88.592511;0.7719101;3.9186008;1.7264913;17.197609;88.592511;0.8602007
