Topology::Stator::Outer diameter (mm);Topology::Stator::Inner diameter (mm);Topology::Stator::Length (mm);Topology::Rotor::Outer diameter (mm);Topology::Rotor::Inner diameter (mm);Magnet::TM (mm);Magnet::R (mm);Slot::HS (mm);Slot::WT (mm);Slot::R (mm);Winding::Coil - Conductor::No. turns per coil (1);Winding::Coil - Conductor::No. wires in hand (1);Topology::Airgap::Length (mm);Winding::Coil - Conductor::Conductor diameter (mm);Winding::Fill factors::Gross (%);Winding::Fill factors::Net (%);Masses::Total (kg);Inputs::Max. line current, rms (A);Inputs::Max. Line-Line voltage, rms (V);Base speed::Mechanical torque (N.m);Base speed::Speed (rpm);Base speed::Electrical frequency (Hz);Base speed::Mechanical power (W);Base speed::Machine electrical power (W);Base speed::Machine total losses (W);Base speed::Machine efficiency (%);Base speed::Control angle (deg);Base speed::Phase angle (deg);Base speed::Line current, rms (A);Base speed::Line-Line voltage, rms (V);Maximum speed::Mechanical torque (N.m);Maximum speed::Speed (rpm);Maximum speed::Electrical frequency (Hz);Maximum speed::Mechanical power (W);Maximum speed::Machine electrical power (W);Maximum speed::Machine total losses (W);Maximum speed::Machine efficiency (%);Maximum speed::Control angle (deg);Maximum speed::Phase angle (deg);Maximum speed::Line current, rms (A);Maximum speed::Line-Line voltage, rms (V);User work. pt.::Electrical frequency (Hz);User work. pt.::Mechanical power (W);User work. pt.::Machine electrical power (W);User work. pt.::Machine total losses (W);User work. pt.::Machine efficiency (%);User work. pt.::Control angle (deg);User work. pt.::Phase angle (deg);User work. pt.::Line current, rms (A);User work. pt.::Line-Line voltage, rms (V)
1; 59.400000; 24.056000; 29.200001; 23.056000; 11.940368; 2.1212445; 10.997689; 10.249868; 2.5693012; 22.277868;12;3; 0.5000000; 1.1432198; 24.675780; 29.187993; 0.6747987; 7.5527958; 19.798990; 0.4128522; 4913.5479; 409.46232; 212.43125; 243.95844; 31.527187; 87.076820; 4.9540884; 19.646925; 7.5581356; 19.787270; 0.0405253; 5737.1407; 478.09506; 24.347290; 31.209796; 6.8625056; 78.011694; 0.8155552; 2.5276700; 0.9110904; 19.797785; 330.00000; 45.616170; 51.369629; 5.7534595; 88.799881; 1.4939263; 6.0509537; 2.1095487; 14.120400
2; 54.720000; 32.052800; 22.960001; 31.052800; 16.981004; 2.4569264; 14.912168; 7.7971238; 2.1238131; 23.823524;18;3; 0.5000000; 1.1432198; 42.652370; 48.765409; 0.5355536; 7.5527958; 19.798990; 0.5381888; 3806.5372; 317.21144; 214.53262; 255.61059; 41.077975; 83.929471; 20.680407; 9.3068919; 7.5534568; 19.799462; 0.0532904; 4325.1237; 360.42698; 24.136611; 32.878660; 8.7420487; 73.411177; 2.4023032; 1.5208939; 0.9538686; 19.798526; 330.00000; 45.618449; 54.696845; 9.0783956; 83.402341; 5.1925240; 1.8558298; 1.7146790; 18.349432
3; 48.840000; 21.961600; 25.120000; 20.961600; 8.6227120; 3.0320726; 9.7227819; 6.9729088; 2.5573450; 17.953709;14;3; 0.5000000; 1.1432198; 57.017278; 65.093053; 0.4876188; 7.5527958; 19.798990; 0.3809195; 5161.0967; 430.09139; 205.87507; 236.52841; 30.653340; 87.040314; 2.9191189; 24.082077; 7.5540946; 19.801007; 0.0390938; 6293.4336; 524.45280; 25.764670; 29.891894; 4.1272233; 86.192834; 0.5274173; 3.1156958; 0.8731207; 19.797742; 330.00000; 45.616120; 49.939102; 4.3229821; 91.343493; 0.9460098; 8.0269376; 2.2304386; 13.036435
4; 59.760000; 27.102400; 29.680002; 26.102400; 11.859787; 3.2495348; 12.238816; 8.1415037; 4.8021381; 21.692704;10;3; 0.5000000; 1.1432198; 37.444871; 43.926884; 0.7498443; 7.5527958; 19.798990; 0.4291272; 4961.4144; 413.45120; 222.95651; 249.49339; 26.536873; 89.363697; 1.3329033; 15.630444; 7.5540988; 19.800774; 0.0433181; 5615.5112; 467.95927; 25.473432; 29.844513; 4.3710815; 85.353819; 0.3265116; 1.8558949; 0.8709447; 19.798545; 330.00000; 45.615984; 49.686367; 4.0703831; 91.807847; 0.4316661; 4.4697593; 2.0075495; 14.323592
5; 55.080000; 35.099200; 23.440001; 34.099200; 19.900424; 2.0852168; 16.528296; 5.6887597; 4.3566500; 23.238360;16;3;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
6; 55.224000; 31.557760; 17.632002; 30.557760; 15.867500; 2.8368786; 14.569660; 7.8592662; 3.9079240; 23.638146;16;3; 0.5000000; 1.1432198; 45.695338; 52.294446; 0.4608045; 7.5527958; 19.798990; 0.4877786; 4143.4715; 345.28929; 211.64874; 243.51707; 31.868332; 86.913307; 3.0293557; 19.936580; 7.5499464; 19.809130; 0.0472278; 4911.1545; 409.26287; 24.289041; 29.041417; 4.7523761; 83.635867; 0.6193491; 2.3311163; 0.8477646; 19.798358; 330.00000; 45.616053; 50.493511; 4.8774580; 90.340426; 0.9759046; 5.1381240; 1.7872740; 16.332204
7; 58.824000; 38.221760; 22.432001; 37.221760; 22.068606; 2.1163255; 18.081799; 6.6371027; 3.6549013; 25.747983;16;4;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
8; 55.464000; 25.655360; 27.952002; 24.655360; 11.147113; 3.0890722; 11.555412; 9.7870234; 3.3964820; 22.614703;15;5; 0.5000000; 1.4332604; 58.520111; 65.920979; 0.6836921; 12.587993; 19.798990; 0.9273295; 3119.3943; 259.94953; 302.92349; 359.29265; 56.369166; 84.311072; 6.0407843; 33.688707; 12.578247; 19.817471; 0.0922982; 4277.6564; 356.47136; 41.345456; 45.790225; 4.4447692; 90.293192; 0.9067051; 4.4826246; 1.3377551; 19.798618; 330.00000; 45.616031; 50.011968; 4.3959368; 91.210230; 1.0601078; 5.2331697; 1.5687227; 18.412485
9; 59.064000; 32.319360; 32.752001; 31.319360; 17.348219; 2.3685191; 15.067550; 8.5648599; 3.1434593; 24.724540;14;6; 0.5000000; 1.5911023; 62.781487; 70.407189; 0.8757800; 15.105592; 19.798990; 1.4808242; 2575.2976; 214.60814; 399.35538; 469.44859; 70.093213; 85.069033; 14.690680; 25.057652; 15.107005; 19.799541; 0.1473197; 3110.6629; 259.22191; 47.989067; 53.757619; 5.7685517; 89.269332; 3.8959203; 1.0401357; 1.5680854; 19.798612; 330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
10; 52.584000; 25.084160; 24.112000; 24.084160; 10.790030; 3.0636134; 11.276177; 9.1885672; 3.1791345; 21.730647;5;8; 0.5000000; 1.7525822; 34.119490; 39.676929; 0.5051515; 20.140789; 19.798990; 0.4050160; 13731.718; 1144.3098; 582.40576; 636.07886; 53.673098; 91.561880; 2.5123738; 22.934242; 20.140689; 19.798890; 0.4050163; 10000.000; 833.33333; 424.13206; 466.86072; 42.728655; 90.847665; 2.8873245; 22.101127; 19.964611; 14.571726; 330.00000; 45.616054; 50.807498; 5.1914441; 89.782130; 0.9278709; 6.4839066; 5.5747083; 5.2914769
